,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,329690.0,509132.0,509132.0,509132.0,
Ordinary Shares Number,59310608.0,59131166.0,57985082.0,57985082.0,
Share Issued,59640298.0,59640298.0,58494214.0,58494214.0,
Net Debt,,806095000.0,931830000.0,734506000.0,278173000.0
Total Debt,,1115031000.0,1110164000.0,1116129000.0,743409000.0
Tangible Book Value,326000000.0,414415000.0,496038000.0,304034000.0,
Invested Capital,,2765547000.0,2640405000.0,2421307000.0,1696137000.0
Working Capital,638000000.0,759825000.0,774009000.0,355305000.0,
Net Tangible Assets,326000000.0,414415000.0,496038000.0,304034000.0,
Capital Lease Obligations,,,33324000.0,35759000.0,98243000.0
Common Stock Equity,1720000000.0,1650516000.0,1530241000.0,1340937000.0,
Total Capitalization,1720000000.0,2717676000.0,2536569000.0,2078750000.0,
Total Equity Gross Minority Interest,1720000000.0,1650516000.0,1530241000.0,1340937000.0,
Stockholders Equity,1720000000.0,1650516000.0,1530241000.0,1340937000.0,
Retained Earnings,,1379074000.0,1306010000.0,1158416000.0,888815000.0
Additional Paid In Capital,,183714000.0,114519000.0,114519000.0,114519000.0
Capital Stock,,37275000.0,36559000.0,36559000.0,36559000.0
Common Stock,,37275000.0,36559000.0,36559000.0,36559000.0
Total Liabilities Net Minority Interest,2063000000.0,2110184000.0,2075298000.0,2153679000.0,
Total Non Current Liabilities Net Minority Interest,1202000000.0,1201065000.0,1125500000.0,846977000.0,
Other Non Current Liabilities,,20083000.0,,,
Non Current Deferred Taxes Liabilities,,103530000.0,111145000.0,102309000.0,85521000.0
Long Term Debt And Capital Lease Obligation,,1067160000.0,1006328000.0,737813000.0,700978000.0
Long Term Capital Lease Obligation,,,,106657000.0,71538000.0
Long Term Debt,,1067160000.0,1006328000.0,737813000.0,629440000.0
Long Term Provisions,,10292000.0,8027000.0,6855000.0,4142000.0
Current Liabilities,861000000.0,909119000.0,949798000.0,1306702000.0,
Other Current Liabilities,,54282000.0,57217000.0,68943000.0,59085000.0
Current Debt And Capital Lease Obligation,,47871000.0,103836000.0,378316000.0,42431000.0
Current Capital Lease Obligation,,,33324000.0,35759000.0,26705000.0
Current Debt,,47871000.0,103836000.0,342557000.0,15726000.0
Current Provisions,,5756000.0,6423000.0,4846000.0,3327000.0
Payables,,237021000.0,276356000.0,325529000.0,226177000.0
Total Tax Payable,,5348000.0,4384000.0,45830000.0,37361000.0
Accounts Payable,,231673000.0,271972000.0,279699000.0,188816000.0
Total Assets,3783000000.0,3760700000.0,3605539000.0,3494616000.0,
Total Non Current Assets,2284000000.0,2091756000.0,1881732000.0,1832609000.0,
Other Non Current Assets,22000000.0,,,,
Non Current Deferred Taxes Assets,,7294000.0,2738000.0,3574000.0,744000.0
Long Term Equity Investment,,24000.0,0.0,152000.0,306000.0
Investmentsin Associatesat Cost,,24000.0,0.0,152000.0,306000.0
Goodwill And Other Intangible Assets,1394000000.0,1236101000.0,1034203000.0,1036903000.0,
Other Intangible Assets,190000000.0,100292000.0,66124000.0,74060000.0,
Goodwill,1204000000.0,1135809000.0,968079000.0,962843000.0,
Net PPE,868000000.0,846528000.0,842944000.0,790071000.0,
Accumulated Depreciation,,-794272000.0,-738208000.0,-680344000.0,-628755000.0
Gross PPE,868000000.0,1640800000.0,1581152000.0,1470415000.0,
Construction In Progress,,81594000.0,55269000.0,27785000.0,14288000.0
Other Properties,868000000.0,,,,
Machinery Furniture Equipment,,874372000.0,842145000.0,788377000.0,708961000.0
Buildings And Improvements,,684834000.0,683738000.0,654253000.0,563536000.0
Properties,,0.0,0.0,0.0,0.0
Current Assets,1499000000.0,1668944000.0,1723807000.0,1662007000.0,
Hedging Assets Current,,7892000.0,20427000.0,0.0,5315000.0
Prepaid Assets,,59122000.0,75522000.0,78515000.0,38285000.0
Inventory,501000000.0,486664000.0,522960000.0,434457000.0,
Finished Goods,,99919000.0,130020000.0,99689000.0,78123000.0
Work In Process,,118153000.0,118864000.0,120696000.0,84671000.0
Raw Materials,,268592000.0,274076000.0,214072000.0,127318000.0
Other Receivables,,248947000.0,355337000.0,227988000.0,104654000.0
Taxes Receivable,,25915000.0,20781000.0,6055000.0,2995000.0
Accounts Receivable,771000000.0,531468000.0,550446000.0,569128000.0,
Cash Cash Equivalents And Short Term Investments,227000000.0,308936000.0,178334000.0,345864000.0,
Cash And Cash Equivalents,227000000.0,308936000.0,178334000.0,345864000.0,
Cash Equivalents,,607000.0,5000.0,5000.0,5000.0
Cash Financial,,308329000.0,178329000.0,345859000.0,366988000.0
