,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,69971818.0,71226303.0,71226303.0,71226303.0
Share Issued,69971818.0,71226303.0,71226303.0,71226303.0
Net Debt,359393000.0,52932000.0,,
Total Debt,1159668000.0,73298000.0,26403000.0,49977000.0
Tangible Book Value,-220273000.0,86593000.0,62450000.0,49429000.0
Invested Capital,1462997000.0,142315000.0,69117000.0,80679000.0
Working Capital,523388000.0,46050000.0,23728000.0,18490000.0
Net Tangible Assets,-220273000.0,86593000.0,62450000.0,49429000.0
Capital Lease Obligations,188111000.0,17576000.0,19736000.0,18727000.0
Common Stock Equity,491440000.0,86593000.0,62450000.0,49429000.0
Total Capitalization,1162637000.0,131815000.0,62450000.0,56096000.0
Total Equity Gross Minority Interest,698871000.0,96898000.0,62712000.0,55754000.0
Minority Interest,207431000.0,10305000.0,262000.0,6325000.0
Stockholders Equity,491440000.0,86593000.0,62450000.0,49429000.0
Other Equity Interest,41000.0,,,
Retained Earnings,-19874000.0,86473000.0,62330000.0,49309000.0
Additional Paid In Capital,518780000.0,,,
Capital Stock,978000.0,120000.0,120000.0,120000.0
Common Stock,978000.0,120000.0,120000.0,120000.0
Total Liabilities Net Minority Interest,2213711000.0,412385000.0,210787000.0,299772000.0
Total Non Current Liabilities Net Minority Interest,942017000.0,132083000.0,14487000.0,20567000.0
Other Non Current Liabilities,108562000.0,64735000.0,,-1000.0
Tradeand Other Payables Non Current,,387000.0,,
Non Current Deferred Taxes Liabilities,43617000.0,10516000.0,985000.0,0.0
Long Term Debt And Capital Lease Obligation,789838000.0,56445000.0,13502000.0,20568000.0
Long Term Capital Lease Obligation,118641000.0,11223000.0,13502000.0,13901000.0
Long Term Debt,671197000.0,45222000.0,0.0,6667000.0
Current Liabilities,1271694000.0,280302000.0,196300000.0,279205000.0
Other Current Liabilities,330669000.0,23636000.0,84308000.0,50549000.0
Current Debt And Capital Lease Obligation,369830000.0,16853000.0,12901000.0,29409000.0
Current Capital Lease Obligation,69470000.0,6353000.0,6234000.0,4826000.0
Current Debt,300360000.0,10500000.0,6667000.0,24583000.0
Current Provisions,,,,2900000.0
Payables,378375000.0,170522000.0,79156000.0,141688000.0
Other Payable,,35825000.0,4491000.0,2135000.0
Total Tax Payable,6074000.0,1148000.0,5893000.0,13017000.0
Accounts Payable,372301000.0,133549000.0,68772000.0,126536000.0
Total Assets,2912582000.0,509283000.0,273499000.0,355526000.0
Total Non Current Assets,1117500000.0,182931000.0,53471000.0,57831000.0
Other Non Current Assets,,1000.0,1000.0,
Non Current Deferred Taxes Assets,203000.0,170000.0,100000.0,0.0
Other Investments,19000.0,,,
Investmentin Financial Assets,,2560000.0,6096000.0,0.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,2560000.0,6096000.0,0.0
Long Term Equity Investment,190000.0,,,
Investmentsin Associatesat Cost,190000.0,,,
Investment Properties,102000000.0,130000000.0,0.0,0.0
Goodwill And Other Intangible Assets,711713000.0,,,
Other Intangible Assets,72961000.0,,,
Goodwill,638752000.0,,,
Net PPE,254943000.0,22694000.0,25272000.0,21221000.0
Accumulated Depreciation,,-3204000.0,-1798000.0,-668000.0
Gross PPE,254943000.0,25898000.0,27070000.0,21889000.0
Construction In Progress,,262000.0,60000.0,0.0
Other Properties,254943000.0,753000.0,904000.0,1055000.0
Machinery Furniture Equipment,,13646000.0,13195000.0,7651000.0
Buildings And Improvements,,11237000.0,12911000.0,13183000.0
Properties,,0.0,0.0,0.0
Current Assets,1795082000.0,326352000.0,220028000.0,297695000.0
Other Current Assets,-1000.0,-1000.0,,-1000.0
Assets Held For Sale Current,31216000.0,0.0,0.0,44344000.0
Prepaid Assets,,73000.0,956000.0,
Inventory,281949000.0,10000.0,4708000.0,2074000.0
Other Receivables,384814000.0,239566000.0,124178000.0,92435000.0
Taxes Receivable,3678000.0,977000.0,772000.0,305000.0
Accounts Receivable,481262000.0,82937000.0,64329000.0,113784000.0
Cash Cash Equivalents And Short Term Investments,612164000.0,2790000.0,25085000.0,44754000.0
Cash And Cash Equivalents,612164000.0,2790000.0,25085000.0,44754000.0
Cash Financial,,2790000.0,25085000.0,44754000.0
